year,song_title,release_date,release_title,length_seconds
1961,My Bonnie,1961-10-23,My Bonnie,164
1961,The Saints,1961-10-23,My Bonnie,199
1962,Love Me Do,1962-10-05,Love Me Do / P.S. I Love You,143
1962,P.S. I Love You,1962-10-05,Love Me Do / P.S. I Love You,124
1963,From Me to You,1963,From Me to You / Thank You Girl,117
1963,Thank You Girl,1963,From Me to You / Thank You Girl,123
1963,It Won’t Be Long,1963,With The Beatles,133
1963,All I’ve Got to Do,1963,With The Beatles,125
1963,All My Loving,1963,With The Beatles,130
1963,Don’t Bother Me,1963,With The Beatles,149
1963,Little Child,1963,With The Beatles,108
1963,Till There Was You,1963,With The Beatles,137
1963,Please Mister Postman,1963,With The Beatles,155
1963,Roll Over Beethoven,1963,With The Beatles,167
1963,Hold Me Tight,1963,With The Beatles,153
1963,You Really Got a Hold on Me,1963,With The Beatles,183
1963,I Wanna Be Your Man,1963,With The Beatles,119
1963,Devil in Her Heart,1963,With The Beatles,148
1963,Not a Second Time,1963,With The Beatles,128
1963,Money (That’s What I Want),1963,With The Beatles,168
1963,I Saw Her Standing There,1963,Please Please Me,175
1963,Misery,1963,Please Please Me,110
1963,Anna (Go to Him),1963,Please Please Me,177
1963,Chains,1963,Please Please Me,146
1963,Boys,1963,Please Please Me,147
1963,Ask Me Why,1963,Please Please Me,147
1963,Please Please Me,1963,Please Please Me,121
1963,Baby It’s You,1963,Please Please Me,160
1963,Do You Want to Know a Secret,1963,Please Please Me,120
1963,A Taste of Honey,1963,Please Please Me,125
1963,There’s a Place,1963,Please Please Me,113
1963,Twist and Shout,1963,Please Please Me,153
1963,She Loves You,1963,She Loves You / I’ll Get You,141
1963,I’ll Get You,1963,She Loves You / I’ll Get You,125
1963,Cry for a Shadow,1963-07-12,My Bonnie,143
1963,Why,1963-07-12,My Bonnie,178
1963,I Want to Hold Your Hand,1963-11-29,I Want to Hold Your Hand / This Boy,147
1963,This Boy,1963-11-29,I Want to Hold Your Hand / This Boy,135
1963,The Beatles Christmas Record,1963-12-06,The Beatles’ Christmas Record,303
